Date,Mkt-RF,SMB,HML,RF
1986-02,0.0714,-0.0057,-0.0063,0.0053
1986-03,0.0491,-0.0054,-0.0039,0.006
1986-04,-0.0128,0.0276,-0.0281,0.0052
1986-05,0.0462,-0.0136,-0.0014,0.0049
1986-06,0.0106,-0.0093,0.012,0.0052
1986-07,-0.0643,-0.0343,0.0466,0.0052
1986-08,0.0607,-0.0416,0.0354,0.0046
1986-09,-0.0859,0.024,0.0323,0.0045
1986-10,0.0464,-0.0253,-0.0142,0.0046
1986-11,0.0117,-0.0187,-0.0002,0.0039
1986-12,-0.0326,0.0019,0.0036,0.0049
1987-01,0.1245,-0.0189,-0.0318,0.0042
1987-02,0.0438,0.0345,-0.0586,0.0043
1987-03,0.0163,0.005,0.0166,0.0047
1987-04,-0.0209,-0.0172,-0.0036,0.0044
1987-05,0.0011,-0.0053,0.0022,0.0038
1987-06,0.0391,-0.0203,0.0113,0.0048
1987-07,0.0384,-0.0057,0.0094,0.0046
1987-08,0.0352,-0.0085,-0.0098,0.0047
1987-09,-0.0258,0.0058,0.0026,0.0045
1987-10,-0.2319,-0.0827,0.0418,0.006
1987-11,-0.0776,0.0268,0.0314,0.0035
1987-12,0.0682,0.0003,-0.0442,0.0039
1988-01,0.0421,-0.0075,0.0493,0.0029
1988-02,0.0477,0.0333,-0.0153,0.0046
1988-03,-0.0226,0.0601,0.0086,0.0044
1988-04,0.0057,0.0091,0.0151,0.0046
1988-05,-0.0027,-0.0254,0.0244,0.0051
1988-06,0.0478,0.0202,-0.0135,0.0049
1988-07,-0.0125,-0.0023,0.0218,0.0051
1988-08,-0.0331,0.0007,0.0214,0.0059
1988-09,0.0331,-0.0134,-0.0075,0.0062
1988-10,0.0116,-0.0292,0.0203,0.0061
1988-11,-0.0227,-0.0164,0.0147,0.0057
1988-12,0.0148,0.0189,-0.0183,0.0063
1989-01,0.0607,-0.0219,0.0061,0.0055
1989-02,-0.0223,0.0281,0.0099,0.0061
1989-03,0.0157,0.0067,0.0047,0.0067
1989-04,0.0435,-0.0067,-0.0148,0.0067
1989-05,0.0328,-0.0009,-0.009,0.0079
1989-06,-0.0133,-0.0097,0.0221,0.0071
1989-07,0.0718,-0.0411,-0.028,0.007
1989-08,0.0143,0.0057,0.0062,0.0074
1989-09,-0.0076,0.003,-0.0127,0.0065
1989-10,-0.0365,-0.0324,-0.0116,0.0068
1989-11,0.0104,-0.0119,-0.0113,0.0069
1989-12,0.0118,-0.0237,0.0015,0.0061
1990-01,-0.078,-0.0114,0.0083,0.0057
1990-02,0.0112,0.0097,0.0065,0.0057
1990-03,0.0183,0.0147,-0.029,0.0064
1990-04,-0.0336,-0.0047,-0.0257,0.0069
1990-05,0.0843,-0.0256,-0.0389,0.0068
1990-06,-0.0109,0.0135,-0.02,0.0063
1990-07,-0.019,-0.0308,-0.0006,0.0068
1990-08,-0.1012,-0.035,0.0156,0.0066
1990-09,-0.0611,-0.0364,0.0059,0.006
1990-10,-0.0192,-0.0552,0.0008,0.0068
1990-11,0.0635,0.0042,-0.0297,0.0057
1990-12,0.0246,0.0079,-0.0157,0.006
1991-01,0.0469,0.0378,-0.0148,0.0052
1991-02,0.0719,0.0401,-0.0062,0.0048
1991-03,0.0266,0.0388,-0.013,0.0044
1991-04,-0.0028,0.005,0.0149,0.0053
1991-05,0.0366,-0.0039,-0.0052,0.0047
1991-06,-0.0494,0.0018,0.0108,0.0042
1991-07,0.0424,-0.0097,-0.013,0.0049
1991-08,0.0232,0.0158,-0.0079,0.0046
1991-09,-0.0159,0.0168,-0.0123,0.0046
1991-10,0.0129,0.0077,-0.0043,0.0042
1991-11,-0.042,-0.0051,-0.0177,0.0039
1991-12,0.1085,-0.0226,-0.0423,0.0038
1992-01,-0.0059,0.0848,0.0467,0.0034
1992-02,0.0108,0.0083,0.0651,0.0028
1992-03,-0.0265,-0.0097,0.0349,0.0034
